name	nr	pop	pop2	popcol	filter	prop_miss	n_retained_sites	hetero_retained_sites	hetero_segregating_sites
14CCUT1_5434	1	CC1	CC1	blue	TRUE	0.0431107354184277	2814	0.0614783226723525	0.208937198067633
14CCUT1_5436	2	CC1	CC1	blue	TRUE	0.0346576500422654	2816	0.0589488636363636	0.201701093560146
14CCUT1_5437	3	CC1	CC1	blue	TRUE	0.193857424626655	2359	0.0720644340822382	0.254491017964072
14CCUT1_5438	4	CC1	CC1	blue	TRUE	0.032967032967033	2824	0.0722379603399433	0.245192307692308
14CCUT1_5439	5	CC1	CC1	blue	TRUE	0.0386024232178078	2810	0.0718861209964413	0.249382716049383
14CCUT1_5440	6	CC1	CC1	blue	TRUE	0.0681882220343759	2726	0.0707997065297139	0.243686868686869
14CCUT1_5441	7	CC1	CC1	blue	TRUE	0.107354184277261	2607	0.0824702723436901	0.285524568393094
14CCUT1_5442	8	CC1	CC1	blue	TRUE	0.030712876866723	2846	0.0709768095572734	0.241338112305854
14CCUT1_5443	9	CC1	CC1	blue	TRUE	0.0174697097774021	2867	0.0781304499476805	0.266349583828775
14CCUT1_5445	10	CC1	CC1	blue	TRUE	0.0357847280924204	2817	0.0685126020589279	0.234507897934386
14CCUT1_5446	11	CC1	CC1	blue	TRUE	0.0171879402648633	2870	0.064808362369338	0.220902612826603
14CCUT1_5448	12	CC1	CC1	blue	TRUE	0.0535362073823612	2774	0.0749819754866619	0.257107540173053
14CCUT1_5449	13	CC1	CC1	blue	TRUE	0.0602986756832911	2744	0.0626822157434402	0.214463840399002
14CCUT1_5450	14	CC1	CC1	blue	TRUE	0.0188785573400958	2869	0.0683164865806901	0.235576923076923
14CCUT1_5451	15	CC1	CC1	blue	TRUE	0.0355029585798817	2815	0.0600355239786856	0.206854345165239
14CCUT1_5452	16	CC1	CC1	blue	TRUE	0.021978021978022	2858	0.0752274317704689	0.253537735849057
14CCUT1_5453	17	CC1	CC1	blue	TRUE	0.148492533107918	2484	0.0752818035426731	0.260445682451253
14CCUT1_5454	18	CC1	CC1	blue	TRUE	0.0287404902789518	2838	0.0711768851303735	0.244256348246675
14CCUT1_5456	19	CC1	CC1	blue	TRUE	0.184277261200338	2352	0.0710034013605442	0.240634005763689
14CCUT1_5457	20	CC1	CC1	blue	TRUE	0.0388841927303466	2809	0.0711997152011392	0.244798041615667
14CCUT1_5458	21	CC1	CC1	blue	TRUE	0.0422654268808115	2793	0.075187969924812	0.257668711656442
14CCUT1_5461	22	CC1	CC1	blue	TRUE	0.0487461256692026	2783	0.0722242184692778	0.247232472324723
14CCUT1_5462	23	CC1	CC1	blue	TRUE	0.0442378134685827	2793	0.0819906910132474	0.278928136419001
14CCUT1_5463	24	CC1	CC1	blue	TRUE	0.0146520146520147	2878	0.0729673384294649	0.247058823529412
14CCUT1_5465	25	CC1	CC1	blue	TRUE	0.0278951817413356	2841	0.0714537134811686	0.241666666666667
14CCUT1_5469	26	CC1	CC1	blue	TRUE	0.0146520146520147	2882	0.0680083275503123	0.231678486997636
14CCUT1_5470	27	CC1	CC1	blue	TRUE	0.0679064525218371	2720	0.0602941176470588	0.206289308176101
14CCUT1_5472	28	CC1	CC1	blue	TRUE	0.0222597914905607	2857	0.0791039551977599	0.269368295589988
14CCUT1_5474	29	CC1	CC1	blue	TRUE	0.00732600732600733	2898	0.085576259489303	0.289719626168224
14CCUT1_5476	30	CC1	CC1	blue	TRUE	0.0456466610312764	2788	0.071377331420373	0.24875
14CCUT1_5477	31	CC1	CC1	blue	TRUE	0.0064806987883911	2901	0.0841089279558773	0.284051222351572
14CCUT1_5478	32	CC1	CC1	blue	TRUE	0.00535362073823612	2907	0.0804953560371517	0.271461716937355
14CCUT1_5479	33	CC1	CC1	blue	TRUE	0.00873485488870104	2896	0.0732044198895028	0.24824355971897
14CCUT1_5480	34	CC1	CC1	blue	TRUE	0.0538179768949	2770	0.0714801444043321	0.245353159851301
14CCUT1_5481	35	CC1	CC1	blue	TRUE	0.0205691744153283	2855	0.067600700525394	0.228944246737841
14CCUT1_5482	36	CC1	CC1	blue	TRUE	0.21076359537898	2286	0.0857392825896763	0.283646888567294
14CCUT1_5484	37	CC1	CC1	blue	TRUE	0.0819949281487743	2691	0.0769230769230769	0.261034047919294
14CCUT1_5485	38	CC1	CC1	blue	TRUE	0.0687517610594534	2726	0.0638297872340425	0.214022140221402
14CCUT1_5486	39	CC1	CC1	blue	TRUE	0.030712876866723	2827	0.0742836929607358	0.252707581227437
14CCUT1_5487	40	CC1	CC1	blue	TRUE	0.0507185122569738	2767	0.0711962414166968	0.245942571785268
14CCUT2_5488	41	CC2	CC2	darkgreen	TRUE	0.0247957171034094	2854	0.0781359495444989	0.229896907216495
14CCUT2_5489	42	CC2	CC2	darkgreen	TRUE	0.0597351366582136	2737	0.0774570697844355	0.232201533406353
14CCUT2_5490	43	CC2	CC2	darkgreen	TRUE	0.0924204001127078	2649	0.0792751981879955	0.233853006681514
14CCUT2_5491	44	CC2	CC2	darkgreen	TRUE	0.0532544378698225	2769	0.0845070422535211	0.25
14CCUT2_5492	45	CC2	CC2	darkgreen	TRUE	0.0309946463792618	2823	0.087849805171803	0.25699481865285
14CCUT2_5493	46	CC2	CC2	darkgreen	TRUE	0.104818258664413	2608	0.0824386503067485	0.2423900789177
14CCUT2_5494	47	CC2	CC2	darkgreen	TRUE	0.0171879402648633	2873	0.0654368256178211	0.191641182466871
14CCUT2_5495	48	CC2	CC2	darkgreen	TRUE	0.019723865877712	2862	0.079664570230608	0.233846153846154
14CCUT2_5496	49	CC2	CC2	darkgreen	TRUE	0.0309946463792618	2833	0.0797740910695376	0.235908141962422
14CCUT2_5497	50	CC2	CC2	darkgreen	TRUE	0.0118343195266272	2884	0.0814840499306519	0.237854251012146
14CCUT2_5498	51	CC2	CC2	darkgreen	TRUE	0.0205691744153283	2866	0.0774598743893929	0.229102167182663
14CCUT2_5499	52	CC2	CC2	darkgreen	TRUE	0.0301493378416455	2844	0.0759493670886076	0.22360248447205
14CCUT2_5500	53	CC2	CC2	darkgreen	TRUE	0.00760777683854607	2897	0.0862961684501208	0.252525252525253
14CCUT2_5502	54	CC2	CC2	darkgreen	TRUE	0.0112707805015497	2883	0.083593479014915	0.245167853509664
14CCUT2_5503	55	CC2	CC2	darkgreen	TRUE	0.00958016342631727	2890	0.0802768166089965	0.235294117647059
14CCUT2_5504	56	CC2	CC2	darkgreen	TRUE	0.0419836573682728	2803	0.0852657866571531	0.250261780104712
14CCUT2_5505	57	CC2	CC2	darkgreen	TRUE	0.00901662440123979	2896	0.0887430939226519	0.259858442871587
14CCUT2_5506	58	CC2	CC2	darkgreen	TRUE	0.0259227951535644	2848	0.0804073033707865	0.235839340885685
14CCUT2_5508	59	CC2	CC2	darkgreen	TRUE	0.021978021978022	2868	0.0917015341701534	0.268916155419223
14CCUT2_5509	60	CC2	CC2	darkgreen	TRUE	0.0160608622147084	2875	0.0758260869565217	0.223589743589744
14CCUT2_5510	61	CC2	CC2	darkgreen	TRUE	0.0123978585517047	2889	0.0758047767393562	0.22210953346856
14CCUT2_5512	62	CC2	CC2	darkgreen	TRUE	0.00591715976331361	2905	0.0943201376936317	0.275100401606426
14CCUT2_5514	63	CC2	CC2	darkgreen	TRUE	0.00986193293885602	2897	0.0745598895409044	0.218181818181818
14CCUT2_5515	64	CC2	CC2	darkgreen	TRUE	0.163989856297549	2449	0.0722743977133524	0.217177914110429
14CCUT2_5516	65	CC2	CC2	darkgreen	FALSE	0.280642434488588	2093	0.0645007166746297	0.193877551020408
14CCUT2_5519	66	CC2	CC2	darkgreen	TRUE	0.0436742744435052	2795	0.0644007155635063	0.192513368983957
14CCUT2_5520	67	CC2	CC2	darkgreen	TRUE	0.0411383488306565	2808	0.0751424501424501	0.222105263157895
14CCUT2_5521	68	CC2	CC2	darkgreen	TRUE	0.00788954635108481	2898	0.082815734989648	0.242669362992922
14CCUT2_5522	69	CC2	CC2	darkgreen	TRUE	0.012116089039166	2889	0.0719972308757355	0.211382113821138
14CCUT2_5523	70	CC2	CC2	darkgreen	TRUE	0.05156382079459	2770	0.0765342960288809	0.228202368137783
14CCUT2_5524	71	CC2	CC2	darkgreen	TRUE	0.198083967314737	2312	0.108996539792388	0.309963099630996
14CCUT2_5525	72	CC2	CC2	darkgreen	TRUE	0.0662158354466047	2745	0.0819672131147541	0.24617067833698
14CCUT2_5526	73	CC2	CC2	darkgreen	TRUE	0.0335305719921105	2832	0.0755649717514124	0.223382045929019
14CCUT2_5529	74	CC2	CC2	darkgreen	TRUE	0.0129613975767822	2883	0.0898369753728755	0.263479145473042
14CCUT2_5530	75	CC2	CC2	darkgreen	TRUE	0.031839954916878	2843	0.0794934927893071	0.23419689119171
14CCUT2_5531	76	CC2	CC2	darkgreen	TRUE	0.0293040293040293	2836	0.0909732016925247	0.266804550155119
14CCUT2_5532	77	CC2	CC2	darkgreen	TRUE	0.021978021978022	2866	0.0795533845080251	0.235780765253361
14CCUT2_5533	78	CC2	CC2	darkgreen	TRUE	0.00929839391377853	2893	0.0850328378845489	0.248484848484848
14CCUT2_5534	79	CC2	CC2	darkgreen	TRUE	0.0352211890673429	2828	0.0834512022630834	0.244813278008299
14CCUT2_5535	80	CC2	CC2	darkgreen	TRUE	0.00817131586362356	2894	0.0839668279198341	0.246450304259635
14CCUT2_5536	81	CC2	CC2	darkgreen	TRUE	0.00901662440123979	2894	0.0739460953697305	0.216599190283401
14CCUT2_5537	82	CC2	CC2	darkgreen	TRUE	0.0112707805015497	2892	0.0874827109266943	0.256332320162107
14CCUT2_5538	83	CC2	CC2	darkgreen	TRUE	0.0264863341786419	2849	0.0775710775710776	0.230688935281837
14CCUT2_5539	84	CC2	CC2	darkgreen	TRUE	0.00479008171315864	2905	0.0698795180722892	0.203815261044177
14CCUT2_5540	85	CC2	CC2	darkgreen	TRUE	0.0267681036911806	2851	0.090143809189758	0.266874350986501
14CCUT2_5541	86	CC2	CC2	darkgreen	TRUE	0.0123978585517047	2890	0.0660899653979239	0.194105691056911
14CCUT2_5542	87	CC2	CC2	darkgreen	TRUE	0.012116089039166	2885	0.0974003466204506	0.28412537917088
14CCUT2_5543	88	CC2	CC2	darkgreen	TRUE	0.083403775711468	2680	0.0802238805970149	0.239955357142857
14CCUT2_5544	89	CC2	CC2	darkgreen	TRUE	0.0270498732037194	2856	0.0808823529411765	0.238390092879257
14CCUT2_5545	90	CC2	CC2	darkgreen	TRUE	0.0239504085657932	2848	0.081811797752809	0.24321503131524
14CCUT2_5546	91	CC2	CC2	darkgreen	TRUE	0.0656522964215272	2752	0.0704941860465116	0.211559432933479
14CCUT2_5548	92	CC2	CC2	darkgreen	TRUE	0.0166244012397859	2883	0.0849809226500173	0.247724974721941
14CCUT2_5549	93	CC2	CC2	darkgreen	TRUE	0.0245139475908707	2856	0.0920868347338936	0.271694214876033
14CCUT2_5550	94	CC2	CC2	darkgreen	TRUE	0.0135249366018597	2881	0.0798333911836168	0.234215885947047
14CCUT2_5551	95	CC2	CC2	darkgreen	TRUE	0.0256410256410256	2848	0.0768960674157303	0.225540679711637
14CCUT2_5552	96	CC2	CC2	darkgreen	TRUE	0.0414201183431953	2802	0.0603140613847252	0.180362860192102
14CCUT2_5553	97	CC2	CC2	darkgreen	TRUE	0.0284587207664131	2845	0.0847100175746924	0.249482401656315
14CCUT2_5554	98	CC2	CC2	darkgreen	TRUE	0.0126796280642434	2883	0.072840790842872	0.212765957446809
14CCUT2_5555	99	CC2	CC2	darkgreen	TRUE	0.062552831783601	2745	0.0739526411657559	0.220412595005429
14CCUT3_5559	100	CC3	CC3	darkred	TRUE	0.0383206537052691	2806	0.127227369921597	0.333644859813084
14CCUT3_5564	101	CC3	CC3	darkred	TRUE	0.0309946463792618	2829	0.110639802050194	0.287948482060718
14CCUT3_5566	102	CC3	CC3	darkred	TRUE	0.0442378134685827	2788	0.118723098995696	0.312559017941454
14CCUT3_5567	103	CC3	CC3	darkred	TRUE	0.010989010989011	2891	0.123486682808717	0.321621621621622
14CCUT3_5568	104	CC3	CC3	darkred	TRUE	0.012116089039166	2886	0.115384615384615	0.300541516245487
14CCUT3_5570	105	CC3	CC3	darkred	TRUE	0.0152155536770921	2878	0.117790132036136	0.305956678700361
14CCUT3_5571	106	CC3	CC3	darkred	TRUE	0.032967032967033	2834	0.118207480592802	0.308471454880295
14CCUT3_5572	107	CC3	CC3	darkred	TRUE	0.0355029585798817	2809	0.112851548593806	0.295985060690943
14CCUT3_5577	108	CC3	CC3	darkred	TRUE	0.0394477317554241	2804	0.103423680456491	0.269016697588126
14CCUT3_5580	109	CC3	CC3	darkred	TRUE	0.0287404902789518	2836	0.119181946403385	0.311233885819521
14CCUT3_5582	110	CC3	CC3	darkred	TRUE	0.0732600732600733	2711	0.127628181482848	0.336248785228377
14CCUT3_5585	111	CC3	CC3	darkred	TRUE	0.0419836573682728	2803	0.127006778451659	0.332399626517274
14CCUT3_5587	112	CC3	CC3	darkred	TRUE	0.240067624683009	2190	0.115068493150685	0.300357568533969
