loci	
1	37_121	0.887834227319038
2	204_57	0.345477505523129
3	402_20	0.338852522242666
4	523_80	2.92982563081416e-05
5	558_10	8.82844227053803e-05
6	691_52	0.636825743212584
7	993_127	0.033790088226691
8	997_125	0.00310096352616001
9	1072_27	0.30034449207486
10	1285_23	0.172979239405248
11	1403_139	0.926262107427551
12	1378_111	4.50425023459212e-08
13	1490_22	7.16581184343294e-38
14	1587_116	0.284084872451945
15	1852_95	0.274910209736347
16	1875_57	0.431315026238402
17	1900_127	0.941213356537606
18	2102_65	0.579120271172586
19	2168_135	0.983011603102484
20	2215_109	1.80536120335936e-06
21	2406_21	0.866748779700009
22	2479_96	4.35447651734777e-06
23	2457_12	0.657056272386721
24	2487_49	0.834095581475789
25	2768_144	0.385730494005643
26	2689_60	0.319174352646279
27	3293_68	0.00331596668366226
28	3308_67	0.809721721507606
29	3312_22	7.94647596696939e-10
30	274126_25	0.990891290155144
31	3489_109	0.0764786676539132
32	3447_128	1.10757941290475e-22
33	3480_33	1.01204485157509e-07
34	3596_84	0.00446207852445021
35	3654_124	0.125241969796367
36	3623_103	1.5087090052985e-12
37	3674_26	0.248916247468974
38	3720_95	0.429084199143095
39	274435_96	0.491400229067476
40	3968_57	0.864172794755228
41	4072_29	0.656035014173324
42	4049_146	0.944333892199754
43	4060_68	0.79081276758092
44	4061_86	0.898037733656079
45	4337_46	0.753501254291792
46	4364_24	0.240813819062206
47	4362_129	0.721890176997123
48	4796_62	0.180015275399382
49	4858_93	0.973641455744555
50	4863_23	0.762122529226402
51	4993_13	2.37013570274686e-23
52	4949_88	1.21630907661251e-24
53	4963_71	3.16669849877821e-27
54	4967_106	1.14550856046485e-28
55	5048_25	0.809055923939249
56	5049_12	0.817980638678337
57	5050_21	0.880470367756055
58	5017_101	1.23851829474265e-40
59	5422_47	0.463389376522248
60	5454_125	0.447012508830229
61	5531_14	0.089862405777742
62	5532_45	0.107958799452933
63	5534_86	0.181400271670026
64	5630_12	0.842370745709372
65	5697_115	0.000641321816337754
66	5710_90	3.2880470723377e-35
67	5718_10	0.43621863958699
